哀兵必胜 骄兵必败
稽察 稽查
稽察 稽查查察
稽查 稽察
稽查 稽察查察
拖延 稽迟
考核 稽核
顿首 稽首
拖延 稽延
鼓动感动 激昂
慷慨 激昂大方
舌战 激辩
荡漾 激荡
冲动 激动
激昂 激动慷慨
引发 激发
激怒 激愤
鼓励 激励
猛烈 激烈
急流 激流
激愤 激怒
豪情 激情
亲热 激情亲切
鼓励 激劝
鏖战 激战
登科 及第
捷足先登 及锋而试
合格 及格
豆蔻年华 及笄年华
实时 及时
赶早 及早
防患未然 及早防备
吉祥 吉利
吉士 吉人
善者神佑 吉人天相
谷旦 吉日
吉人 吉士
祥瑞 吉祥
休咎 吉凶
佳兆 吉兆
罗致 汲取
心余力绌 汲深绠短
打水 汲水
提拔 汲引
马上 即刻
克日 即日
纵然 即使
便是 即是
马上 即速
登基 即位
顶点 极点
非常 极度
极度 极端
颠峰 极峰
淋漓尽致 极尽描摹
神仙世界 极乐世界
冰冷 极冷
尽力 极力
马首是瞻 极力模仿
纵目 极目
少少 极少
崭新 极新
死罪 极刑
綦重 极重
深重 极重繁重
急忙忙 急巴巴
遽变 急变
岌岌可危 急不可待
仓促 急促
慷慨仗义 急公好义
急忙忙 急乎乎
仓促 急急
快快当当 急急巴巴
快快当当 急急忙忙
抢救 急救
急忙 急遽
激流 急流
功成身退 急流勇退
急遽 急忙
急乎乎 急忙忙
迫切 急迫
奋起直追 急起直追
火急 急切
迫不及待 急如星火
临渴掘井 急时抱佛脚
连忙 急速
敏捷 急迅
浮躁 急躁
情急智生 急中生智
痛苦 疾苦
声色俱厉 疾言厉色
狂奔 疾走
捷足先登 疾足先得
聚集 集合
聚会会议 集会
调集 集结
群策群力 集思广益
团体 集体
团体 集团
聚沙成塔 集腋成裘
会合 集中
妒忌 嫉妒
编录 辑录
和睦 辑睦
和睦 辑穆
没没无闻 籍籍无名
频频 几次
多少 几多
多少 几何
险些 几乎
几次 几回
一再 几回再三
多少 几许
爱人如己 己饥己溺
计谋 计策
筹划 计划
算无遗策 计划精巧
计算 计较
战略 计谋
盘算 计算
小手小脚 计无所出
讨论 计议
算帐 计帐
挂念 记挂
暗号 记号
记载 记录
记着 记取
记录 记实
影象 记忆
念念不忘 记忆犹新
纪录 记载
记着 记住
记取 记着
本领 伎俩
跃跃欲试 伎痒
记录 纪录
规律 纪律
编年 纪年
怀念 纪念
游记 纪行
倡寮 妓院
忌日 忌辰
顾忌 忌惮
隐讳 忌讳
忌辰 忌日
武术 技击
款式 技俩
本领 技能花样
本领 技巧
技能 技术
妙技 技术手段
摩拳擦掌 技痒
武艺 技艺
境遇 际遇
仲父 季父
季节 季候
季候 季节
末世 季世
幼子 季子
囊空如洗 季子囊空
救急 济急
雪中送炭 济困扶危
雪中送炭 济困解危
承继 继承
后妻 继配
后妻 继室
绍述 继述
承前启后 继往开来
连续 继续
络绎不绝 继续不停
克绍箕裘 继志述事
沉寂 寂静
寥寂 寂静落寞
枯寂 寂聊
寥寂 寂寥
寥寂 寂寞
肃然 寂然
寄存 寄放
义父 寄父
托足 寄迹
俯仰由人 寄人篱下
托身 寄身
投止 寄宿
拜托 寄托
留意 寄望
含义 寄义
寓意 寄意
敬拜 祭奠
祭奠 祭祀
更加 加倍
侵犯 加害
加速 加快
增强 加强
参加 加入
加快 加速
添补 加添
私人亲信 夹袋中人物
混合 夹杂
背工 夹帐
兵凶战危 佳兵不祥
杰作 佳构
韵事 佳话
美人 佳丽
匹俦 佳偶
嘉偶天成 佳偶天成
夫妇 佳耦
美人 佳人
好菜 佳肴
美誉 佳誉
吉兆 佳兆
镣铐 枷锁
桎梏 枷锁束缚
产业 家产
屡见不鲜 家常便饭
祖传 家传
产业 家当
家境 家道
仆人 家丁
家道 家境
家属 家眷
环堵萧然 家贫壁立
门风 家声
门第 家世
乡信 家书
派别 家数
萧墙之祸 家庭祸变
室如悬磬 家徒壁立
贫无立锥 家徒四壁
故乡 家乡
家书 家信
六畜 家畜
故里 家园
眷属 家属
家属 家族
高朋 嘉宾
美谈 嘉话
盛会 嘉会
夸奖 嘉奖
夸奖 嘉勉
佳偶天成 嘉偶天成
赞美 嘉赞
船面 甲板
头等 甲等
头等 甲第
军人 甲士
蟑螂 甲由
团鱼 甲鱼
代价 价格
价格 价钱
代价 价值
价值千金 价值连城
无价之宝 价值千金
跨鹤西归 驾返瑶池
劳驾 驾临
得心应手 驾轻就熟
驾御 驾驭
驾驭 驾御
含沙射影 架词诬控
排挤 架空
托辞 假称
冒充 假充
借贷 假贷
营私舞弊 假公济私
谎言 假话
赝品 假货
冒充 假冒
化名 假名
伪钞 假票
假装好人 假仁假义
沐日 假日
倘使 假如
倘使 假若
倘使 假使
冒充 假意
虚与委蛇 假意周旋
定居 假寓
捏造 假造
冒充 假装
假仁假义 假装好人
移祸 嫁祸
以邻为壑 嫁祸他人
以邻为壑 嫁祸于人
嫁妆 嫁奁
妆奁 嫁妆
农事 稼穑
狡猾 奸刁
奸徒 奸棍
奸诈 奸滑
奸狡 奸猾
奸刁 奸狡
奸淫 奸骗
奸诈 奸巧
暴徒 奸人
市侩 奸商
奸淫 奸通奸骗
奸棍 奸徒
特工 奸细
刁滑 奸险
狞笑 奸笑
奸骗 奸淫
刁滑 奸诈
哨兵 尖兵
刻薄 尖刻
尖锐 尖利
锋利 尖锐
刻薄 尖酸
繁言吝啬 尖酸刻薄
焦土政策 坚壁清野
坚如盘石 坚不可摧
对峙 坚持
坚韧不拔 坚持不懈
贯彻始终 坚持到底
峻拒 坚辞
刚强 坚定
百折不挠 坚定不移
牢固 坚固
刚强 坚决
困难 坚苦
历尽艰辛 坚苦卓绝
刚强 坚强
坚固 坚忍
坚固 坚韧
坚持不懈 坚韧不拔
固若金汤 坚如盘石
坚固 坚实
服从 坚守
坚贞 坚毅
威武不屈 坚毅不拔
刚正 坚毅刚烈
坚固 坚硬
坚忍 坚贞
傲雪欺霜 坚贞不屈
扑灭 歼灭
岌岌可危 间不容发
特工 间谍
中断 间断
断绝 间断中止
隔断 间隔
肩摩踵接 肩背相望
负担 肩负
亚肩迭背 肩摩毂击
前后相接 肩摩踵接
困难 艰巨
费力 艰苦
勤勤俭俭 艰苦朴素
艰巨 艰难
晦涩 艰涩
深邃 艰深
多事之秋 艰屯之际
艰苦 艰辛
吞并 兼并
分身 兼顾
缧绁 监仓
监视 监督
犯人 监犯
督工 监工
羁系 监管
羁系 监禁
缧绁 监牢
监督 监视
牢狱 监狱
闭口 缄口
默不作声 缄口不言
闭口无言 缄口藏舌
闭口无言 缄口结舌
闭口无言 缄口无言
沉默 缄默
沉默 缄默沉静
守口如瓶 缄舌闭口
挑撰 拣选
节俭 俭仆
朴实 俭朴
朴实 俭省
节俭 俭约
跌价 减价
削弱 减弱
逊色 减色
淘汰 减少
节减 减省
节减 减削
弛刑 减刑
铰剪 剪刀
剃头 剪发
同窗夜语 剪烛西窗
查抄 检查
查察 检察
检核检束 检点
检点 检核
检点 检核检束
检点 检束
检验 检讨
检验 检修
查验 检验
校阅阅兵 检阅
演武厅 检阅场
校阅 检阅校对
轻便 简便
简略 简单
翰札 简牍
简便 简洁
简便 简捷
简洁 简练
大略 简陋
大略 简略
简易 简略单纯
节减 简略节略
俭朴 简朴
扼要 简要
浅易 简易
的确 简直
看法 见地
博古通今 见多识广
见机行事 见风使舵
看风使舵 见风转舵
告知 见告
见责 见怪
识趣 见机
量体裁衣 见机而作
见风使舵 见机行事
见示 见教
看法 见解
施礼 见礼
不知恩义 见利忘义
包涵 见谅
跃跃欲动 见猎心喜
晤面 见面
重色轻友 见色忘友
见地 见识
少见多怪 见识浅短
漠不关心 见死不救
尝鼎一脔 见微知着
博古通今 见闻广博
目染耳濡 见闻习染
收效 见效
贻笑大方 见笑于人
当仁不让 见义勇为
喜新厌旧 见异思迁
包涵 见原
见怪 见责
示知 见知
定都 建都
立功 建功
开国 建国
创建 建立
设置装备摆设 建设
建立 建树
发起 建议
制作 建造
修建 建筑
一触即发 剑拔弩张
平沽 贱卖
粗躯 贱躯
卑视 贱视
顽躯 贱体
康健 健康
忘记 健忘
强健 健旺
结实 健壮
垂垂 渐渐
推行 践诺
蹂躏 践踏
残害 践踏糟踏
履言 践言
如约 践约
莅祚 践祚
辨别 鉴别
判定 鉴定
警戒 鉴戒
察言观色 鉴貌辨色
观赏 鉴赏
辨别 鉴识
江畔 江干
一落千丈 江河日下
江干 江畔
山河 江山
临渴掘井 江心补漏
海底捞针 江中钓月
快要 将近
迁就 将就
未来 将来
半信半疑 将信将疑
棋逢敌手 将遇良才
对峙 僵持
战场 疆场
版图 疆土
领土 疆域
失言 讲错
媾和 讲和
发言 讲话
论价 讲价
解说 讲解
讲求 讲究
授课 讲课
表明 讲明
考究 讲求
教学 讲授
报告 讲述
课堂 讲堂
报告 讲演
课本 讲义
赏罚 奖惩
嘉奖 奖励
夸奖 奖赏
称赞 奖饰
别开生面 匠心独运
胸中有数 匠意于心
低落 降低
克服 降服
投降 降服佩服
贬价 降价
到临 降临
诞生 降生
接班 交班
打仗 交兵
交织 交叉
交织 交错
交接 交代
反目 交恶
比武 交锋
互换 交换
外交 交际
交迫 交煎
交代 交接
接壤 交界
交换 交流
交煎 交迫
话不投机 交浅言深
友爱 交情
交界 交壤
融会 交融
谈判 交涉
比武 交手
攀谈 交谈
瓜代 交替
窃窃私议 交头接耳
吩咐 交托
来往 交往
交代 交卸
谈心 交心
生意业务 交易
情谊 交谊
来往 交游
结交 交友
行运 交运
征战 交战
吵骂 交谪
交错 交织
郊野 郊外
田野 郊野
远足 郊游
妩媚 娇媚
羞人答答 娇羞答答
骄纵 娇纵
浇漓 浇薄
解愁 浇愁
浇薄 浇漓
自满 骄傲
傲卒多败 骄兵必败
骄矜 骄贵
高慢 骄横
骄贵 骄矜
高慢 骄气
心高气傲 骄气十足
烈日 骄阳
轻慢 骄易
傲卒多败 骄者必败
宠儿 骄子
骄纵 骄恣
骄恣 骄纵
纠纷 胶葛
菲林 胶卷
如胶似漆 胶漆相投
刻舟求剑 胶柱鼓瑟
核心 焦点
着急 焦急
发急 焦虑
坚壁清野 焦土政策
焦急 焦心
烦躁 焦躁
焦虑 焦炙
焦急 焦炙焦虑
发急 焦灼
比力 角力计较
谯楼 角楼
脚色 角色
比赛 角逐
荣幸 侥幸
诡辩 狡辩
调皮 狡猾
诡计 狡计
抵赖 狡赖
滑头 狡徒
狡猾 狡诈
强健 矫健
灵活 矫捷
装腔作势 矫揉造作
卖弄 矫饰
过犹不及 矫枉过正
改正 矫正
剧本 脚本
夫役 脚夫
脚印行踪 脚迹
力钱 脚钱
角色 脚色
投机取巧 脚踏两船
实事求是 脚踏实地
脚迹 脚印
脚迹 脚印行踪
剪刀 铰剪
搭钮 铰链
混淆 搅浑
剿灭 剿除
德威并用 剿抚兼施
剿除 剿灭
袭取 剿袭
缉获 缴获
叫唤 叫喊
喝采 叫好
托钵人 叫花子
求乞 叫化
叫喊 叫嚷
啼声 叫声
哗闹 叫嚣
唤醒 叫醒
哨子 叫子
肩舆 轿子
较量 较劲
比力 较量
计算 较量争论
明显 较着
课本 教材
辅导 教导
教养 教化
教导 教诲
锻练 教练
西席 教师
课堂 教室
传授 教授
教学 教授教养
挑拨 教唆
讲授 教学
教导 教训
修养 教养
教诲 教育
老师 教员
阶级 阶层
阶层 阶级
门路 阶梯
囚徒 阶下囚
咸宜 皆宜
交班 接班
接棒人 接班人
接手 接办
接班人 接棒人
打仗 接触
欢迎 接待
连续不断 接二连三
拂尘 接风
接受 接管
攀龙附凤 接贵攀高
帮助 接济
访问 接见
会晤 接见会面
靠近 接近
连续 接连
纷至沓来 接连不断
采取 接纳
讨论 接洽
交界 接壤
赴任 接事
吸收 接收
接办 接手
担当 接受
讨论 接头
不断 接续
策应 接应
近在眉睫 接于眼前
相继 接踵
络绎不绝 接踵而来
纷至沓来 接踵而至
戳穿 揭穿
揭隐私 揭疮疤
检举 揭发
逼上梁山 揭竿而起
揭破 揭露
开幕 揭幕
揭发 揭破
展现 揭示
发表 揭晓
揭疮疤 揭隐私
发表 揭橥
市井 街市
市井 街市商人
陌头 街头
简略节略 节减
着着失败 节节失利
节省 节流
选录 节录
节减 节略
烈女 节女
节奏 节拍
骨气 节气
节流 节省
添枝加叶 节外生枝
结余 节余
节省 节约
控制 节制
节拍 节奏
挟制 劫持
劫掠 劫夺
满目荒凉 劫夺一空
大难不死 劫后余生
劫夺 劫掠
磨难 劫难
劫运 劫数
劫数 劫运
良好 杰出
佳构 杰作
明净 洁白
清洁 洁净
守身如玉 洁身自爱
明哲保身 洁身自好
了案 结案
拜把兄弟 结拜兄弟
感恩图报 结草衔环
滚存 结存
布局 结构
效果 结果
联合 结合
完婚 结婚
交友 结交
了局 结局
缔盟 结盟
笼络 结纳
攀亲 结亲
壮实 结实
竣事 结束
末端 结尾
毕业 结业
节余 结余
树怨 结怨
踏实 结壮
结实 结子
喜报 捷报
及锋而试 捷足先得
及锋而试 捷足先登
移多补少 截长补短
扣留 截留
大相径庭 截然不同
判然不同 截然有异
停止 截止
削足就履 截趾适屦
削足就履 截趾适履
停止 截至
真挚 竭诚
不遗余力 竭尽全力
殚精竭虑 竭尽心思
勉力 竭力
杀鸡取卵 竭泽而渔
浇愁 解愁
排除 解除
典押铺 解当铺
开除 解雇
退役还乡 解甲归田
补救 解救
办理 解决
动身 解缆
拯民水火 解民倒悬
剖解 解剖
遣散 解散
表明 解释
讲授 解说
崩溃 解体
摆脱 解脱
抒难 解危
得救 解围
剖析 解析
解聘 解职
令弟 介弟
介意 介怀
参与 介入
先容 介绍
介怀 介意
警备 戒备
饬厉 戒勉
心病 芥蒂
定义 界说
界限 界线
边界 界限
假贷 借贷
借条 借单
借路 借道
托故 借端
托故 借故
鉴戒 借鉴
欠据 借据
捏词 借口
乞贷 借款
借道 借路
乞贷 借钱
借据 借券
假使 借使
倘若 借使倘使
借重 借势
拐弯抹角 借题发挥
借单 借条
借单 借约
告贷 借债
借势 借重
债主 借主
借单 借字
托词 藉词
托故 藉端
藉卉 藉槁
藉槁 藉卉
女中豪杰 巾帼须眉
女中丈夫 巾帼英雄
目前 今朝
今是昨非 今非昔比
以后 今后
本年 今年
本日 今日
此生 今生
当代 今世
昔不如今 今是昨非
本日 今天
克日 今天不日
彻夜 今夜
琐屑较量 斤斤计较
黄灿灿 金灿灿
铜墙铁壁 金城汤池
秋风 金风抽丰
清规戒律 金科玉律
暮鼓晨钟 金口木舌
莫逆交 金兰交
弓足 金莲
一统天下 金瓯无缺
款项 金钱
钱可通神 金钱万能
山盟海誓 金石之盟
细软 金饰
城开不夜 金吾不禁
锦衣玉食 金衣玉食
富可敌国 金玉满堂
玉液琼浆 金樽旨酒
滋润 津润
补助 津贴
度量 襟怀
胸怀 襟怀胸襟
心曲 襟曲
告急 紧急
牢记 紧记
牢牢 紧紧
精密 紧密
合作无懈 紧密合作
密切 紧密亲密
紧急 紧迫
紧急 紧要
生死关头 紧要关头
告急 紧张
严防 谨防
服膺 谨记
审慎 谨慎
兢兢业业 谨小慎微
谨慎 谨严
袖中神算 锦囊妙计
美丽 锦绣
金衣玉食 锦衣玉食
只管 尽管
努力 尽力
只管即便 尽量
恣意 尽情
和盘托出 尽情宣露
精美绝伦 尽善尽美
满是 尽是
一览无余 尽收眼底
止境 尽头
经心 尽心
全力以赴 尽心尽力
纵情 尽兴
效忠 尽忠
强敌 劲敌
干劲 劲头
现状 近况
迩来 近来
隔壁 近邻
比年 近年
嫡亲 近亲
克日 近日
晚世 近世
类似 近似
接于眼前 近在眉睫
前进 进步
先进 进步前辈
一日千里 进步神速
出场 进场
历程 进程
收支 进出
攻击 进犯
打击 进攻
纳贡 进贡
攻击 进击
升级 进级
入口 进口
舶来品 进口货
入款 进款
朝上进步 进取
进退维谷 进退两难
进退两难 进退失据
骑虎难下 进退维谷
贡献 进献
举行 进行
学习 进修
投刺 进谒
希望 进展
提升 晋升
积渐 浸渐
洗礼 浸礼
感化 浸染
不由得 禁不住
监禁 禁锢
不准 禁绝
克制 禁止
皮蛋 京彩
都城 京城
都门 京都
都门 京师
包办 经办
每每 经常
管理 经管
匡时济世 经国济民
颠末 经过
议决 经过议定
经书 经籍
掮客 经纪
耐久 经久
司理 经理
履历 经历
做生意 经商
担当 经受
经籍 经书
全心 经心
履历 经验
谋划 经营
经过 经由
通过 经由过程
糟糠 荆布
波折 荆棘
半壁江山 荆棘铜驼
满地荆棘 荆天棘地
哆嗦 惊怖
惊愕 惊诧
轰动 惊动
恐慌 惊愕
草木惊心 惊弓之鸟
恐惧 惊骇
惶恐 惊慌
手忙脚乱 惊慌失措
错愕 惊惶
手足无措 惊惶失措
惊惶 惊悸
恐慌 惊惧
恐慌 惊恐
怕惧 惊怕
惊异 惊奇
齰舌 惊叹
震天动地 惊天动地
触目惊心 惊心动魄
惊奇 惊讶
惊奇 惊异
谨小慎微 兢兢业业
精炼 精辟
杰出 精采
精美 精彩
精炼 精粹
一个钱打二十四个结 精打细算
精悍 精干
干练 精悍
英华 精华
精炼 精华精辟
精神 精力
精神抖擞 精力充沛
简练 精练
精粹 精炼
良好 精良
精致 精美
尽善尽美 精美绝伦
细密 精密
夺目 精明
佳构 精品
精良 精巧
准确 精确
博识 精深
精力 精神
神经病 精神病
容光焕发 精神抖擞
神采飞扬 精神焕发
萎靡不振 精神萎顿
神采奕奕 精神奕奕
精华 精髓
醒目 精通
精致 精细
考究 精细精美
精通 精晓
经心 精心
字斟句酌 精益求精
精深 精湛
风雅 精致
精干 精壮
井然有序 井井有理
井然有序 井井有条
井井有条 井然有序
鷽鸠笑鹏 井蛙语海
管中窥豹 井蛙之见
境况 景况
景致 景色
风景 景物
情形 景象
气象 景象形象
敬慕 景仰
情形 景遇
风景 景致
保卫 警备
警励 警策
警员 警察
告诫 警告
警惕 警戒
警语 警句
戒备 警觉
警策 警励
鉴戒 警惕
保镳 警卫
警觉 警悟
警觉 警醒
警句 警语
警察 警员
赛舟 竞渡
比赛 竞赛
赛跑 竞走
镇日 竟日
祭奠 敬拜
敬重 敬服
唯命是听 敬谨如命
恪慎 敬慎
田地 境地
地步 境界
悄然默默 静静
平静 静谧
埋头 静心
默坐 静坐
梦幻泡影 镜花水月
贫乏 窘蹙
逆境 窘境
胶葛 纠缠
扳缠不清 纠缠不清
轇轕 纠葛
集合 纠合
调集 纠集
鸠率 纠率
改正 纠正
追究 究查
盘问 究诘
真相 究竟
毕竟 究竟结果
沧海一粟 九牛一毫
地府 九泉
玄月 九月
费尽心机 久有存心
长远 久远
侍者 酒保
羽觞 酒杯
酒席 酒菜
旅店 酒店
酒肆 酒坊
花天酒地 酒绿灯红
猪朋狗友 酒肉朋友
酒坊 酒肆
醉翁 酒徒
梨涡 酒涡
酒菜 酒席
宿病 旧病
古道 旧道
老例 旧规
老例 旧例
客岁 旧年
昔日 旧日
往事 旧事
旧交 旧友
宿债 旧债
宿帐 旧帐
援军 救兵
扬汤止沸 救火投薪
消防员 救火员
济急 救急
接济 救济
浮水衣 救生衣
救济 救援
救济 救助
落网 就逮
当场 就地
请教 就教
办事 就事
便是 就是
利市 就手
停当 就绪
妥贴 就绪妥当
断送 就义
母舅 舅父
外氏 舅家
娘舅 舅舅
安不忘危 居安思危
住所 居处
高高在上 居高临下
住民 居民
宅忧 居丧
寓所 居所
故意 居心
居心不良 居心叵测
宅忧 居忧
扣押 拘留收禁
逮捕 拘系
偷袭 狙击
全心全意 鞠躬尽瘁
审问 鞠问
僻处一方 局促一隅
场合排场 局面
此中人 局内人
局面 局势
范围 局限
品味 咀嚼
相敬如宾 举案齐眉
举行 举办
碰杯 举杯
办法 举措
设施 举措措施
活动 举动
算做 举动当作
仰人鼻息 举夺由人
抬高 举高
万众一心 举国同心
百口 举家
保举 举荐
孤苦伶仃 举目无亲
孤苦伶仃 举目无亲孤芳自赏
环球 举世
旷代一人 举世无匹
独一无二 举世无双
发难 举事
昂首 举头
闻一知十 举一反三
活动 举止
落落大方 举止高雅
满堂 举座
咬文嚼字 句斟字嚼
巨子 巨擘
大奸 巨猾
富商 巨贾
大师 巨匠
富家 巨室
巨擘 巨头
大小 巨细
巨头 巨子
抗捕 拒捕
断绝 拒却
把守 拒守
脚本 剧本
戏院 剧场
大贼 剧盗
畏罪 惧罪
扼守 据守
听说 据说
占有 据有
间隔 距离
会餐 聚餐
集会 聚会会议
堆积 聚积
剥削 聚敛
离合 聚散
积羽沉舟 聚蚊成雷
捐钱 捐款
捐献 捐募
捐款 捐钱
断送 捐躯
马革裹尸 捐躯疆场
募捐 捐献
救济 捐赠
炒鱿鱼 卷铺盖
香烟 卷烟
怀念 眷念
家属 眷属
关怀 眷注
决议计划 决策
分高下 决雌雄
信心 决定信念
定夺 决计
断交 决绝
断然 决然
断然 决然毅然
殊死 决死
刻意 决心
信心 决心信念
背注一掷 决一死战
决定 决议
决策 决议计划
定夺 决议确定
决定 决意
决斗 决战
血战 决战苦战
秘诀 诀窍
秘诀 诀要
挑剔 抉剔
决议 抉择
遗言 绝笔
悬崖 绝壁
百折不挠 绝不屈服
旷世 绝代
尽头 绝顶
闭口 绝口
死路 绝路末路
发觉 觉察
以为 觉得
掠夺 攫取
武备 军备
部队 军队
礼服 军服
战功 军功
号角 军号
军器 军火
兵舰 军舰
兵力 军力
军械 军器
武士 军人
智囊 军师
戎机 军事机密
羽书 军书
军火 军械
虎帐 军营
兵种 军种
戎衣 军装
平衡 均衡
均摊 均派
均派 均摊
匀称 均匀
隽拔 俊拔
豪杰 俊杰
美丽 俊丽
翘楚 俊彦
飘逸 俊逸
坚辞 峻拒
严厉 峻厉
结束 竣事
洽商 卡脖子
创办 开办
开发 开辟
开朗 开畅
起初 开初
启发 开导
开辟 开发
开拔 开赴
建国 开国
动身 开航
着花 开花
舒怀 开怀
拓荒 开荒
弛禁 开禁
明朗 开阔爽朗
摄影机 开麦拉
引狼入室 开门揖盗
鼻祖 开山祖师
开头 开首
开辟 开拓
开顽笑 开玩笑
开玩笑 开顽笑
坦怀相待 开心见诚
开火 开仗
开门见山 开宗明义
得罪 开罪
班师 凯旅
允承 慨诺
太息 慨气
叹息 慨叹
榜样 楷模
注销 刊出
登载 刊登
改定 刊定
勘误表 刊误表
发行 刊行
勘察 勘测
勘探 勘察
勘察 勘探
订正 勘误
刊误表 勘误表
青鸟术 堪舆术
罗网 坎阱
伐木 砍木
当作 看成
看破 看穿
对待 看待
见解 看法
见机行事 看风使舵
监视 看管
关照 看护
瞥见 看见
看透 看破
把守 看守
看破 看头
看破 看透
探望 看望
病愈 康复
快乐 康乐
丰年 康年
急公好义 慷慨仗义
久旱 亢旱
拒捕 抗捕
跋山涉水 抗尘走俗
防备 抗御
考察 考查
观察 考察
科场 考场
考绩 考成
订正 考订
稽核 考核
考成 考绩
讲求 考究
考证 考据
思量 考虑
测验 考试
磨练 考验
评语 考语
考据 考证
登科 考中
鞭挞 拷打
可靠 靠得住
背景 靠山
酷吏 苛吏
荼毒 苛虐
考场 科场
刑罚 科罚
定罪 科罪
叩首 磕头
稳操胜券 可操左券
小大由之 可大可小
可人 可儿
能否 可否
难得 可贵
恐怖 可骇
适口 可口
大概 可能
可骇 可怕
可钦 可佩
碰巧 可巧
可佩 可钦
可儿 可人
但是 可是
可信 可托
惋惜 可惜
能够 可以或许
无关紧要 可有可无
临渴掘井 渴而穿井
渴仰 渴慕
孺慕 渴念
渴望 渴想
渴慕 渴仰
降服 克服
自制 克己
剥削 克扣
即日 克日
锐意 克意
冷酷 刻毒
铭肌镂骨 刻骨铭心
画虎成犬 刻鹄类鹜
描画 刻画
受苦 刻苦
克日 刻期
期限 刻日
面前目今 刻下
客官 客长
旅舍 客店
客长 客官
旅居 客居
去年 客岁
客厅 客堂
客气 客套
客堂 客厅
堆栈 客栈
讲义 课本
讲堂 课堂
拓荒 垦荒
耕作 垦植
谋害 坑害
空缺 空白
奇策 空城计
空隙 空地
空隙 空地空闲
空腹 空肚
空匮 空乏
空屋 空房
白费 空费
旷日持久 空费时日
枵腹 空腹
空谈 空口说
空乏 空匮
辽阔 空阔
空话 空论
浮名 空名
氛围 空气
亘古未有 空前未有
白手 空手
空地 空位
空房 空屋
清闲 空隙
纸上谈兵 空言无补
梦幻泡影 空中阁楼
蜃楼海市 空中楼阁
阿堵物 孔方兄
儒教 孔教
急切 孔殷
可怕 恐怖
惧怕 恐惧
栗栗不安 恐惧不安
忧惧 恐忧
控诉 控告
控告 控诉
港口 口岸
众口称善 口碑载道
天花乱坠 口不择言
谈锋 口才
牙白口清 口齿伶俐
口授 口传
口子 口儿
供词 口供
标语 口号
黑白 口角
口吻 口气
话柄 口实
口传 口授
口胃 口味
口味 口胃
口气 口吻
言犹在耳 口血未干
口儿 口子
监禁 扣留
拍门 扣门
折扣 扣头
询问 扣问
干瘪 枯瘠
贫乏 枯窘
否极泰来 枯木逢春
隆替 枯荣
凋零 枯萎死亡
闲坐 枯坐
啼笑皆非 哭笑不得
洞穴 窟窿
凄凉 苦楚
苦衷 苦处
夫役 苦力
薄命 苦命
恳求 苦求
坚守 苦守
困心衡虑 苦心焦虑
激战 苦战
心事 苦衷
酷爱 酷好
苛吏 酷吏
严刑 酷刑
过甚其辞 夸大其词
美好 夸姣
放言高论 夸夸其言
浮夸 夸张
完蛋 垮台
驾返瑶池 跨鹤西归
超过 跨越
慌慌张张 快快当当
爱好 快乐喜爱
干脆爽快 快人快事
宽慰 快慰
将近 快要
广漠 宽敞豁达
豁达 宽大旷达
宽免 宽贷豁免
豁略大度 宽宏大量
央央大度 宽洪大度
宽心 宽解
威德兼施 宽猛相济
豁免 宽免
抚慰 宽慰
脱期 宽限
宽解 宽心
延接 款接
格局 款式
款子 款项
款项 款子
经国济民 匡时济世
斧正 匡正
帮助 匡助
狞恶 狂暴
怒潮 狂潮
放荡 狂放
咆哮 狂嗥
大言 狂言
杜康 狂药
痛饮 狂饮
何况 况且
举世无匹 旷代一人
空地 旷地
荒废 旷废
缺课 旷课
绝代 旷世
斗南一人 旷世一人
田野 旷野
幸亏 亏得
薄弱 亏弱
赔本 亏蚀
负心 亏心
观察 窥察
侦察 窥伺
窥伺 窥探
蒲扇 葵扇
高大 魁岸
领袖 魁首
无地自容 愧汗怍人
腐败 溃烂
崩溃 溃散
崩溃 溃逃
奉送 馈送
奉送 馈遗
奉送 馈赠
虫豸 昆虫
伯仲 昆季
后代 昆裔
手足昆季 昆玉
手足昆季 昆仲
系缚 捆扎
困窘 困顿
狐疑 困惑
逆境 困境
困顿 困窘
困乏 困倦
干瘪 困苦
包围 困绕
苦心焦虑 困心衡虑
香肠 腊肠
年近岁终 腊鼓频催
年近岁终 腊尽冬残
尾月 腊月
烛炬 蜡烛
来源 来历
到临 来临
往复 来去
翌日 来日诰日
明年 来岁
来由 来因
理由 来由
泉源 来源
本原 来源根基
玉石同烬 兰艾俱焚
兰艾俱焚 兰艾同焚
兰艾俱焚 兰艾同烬
哲人其萎 兰摧玉折
至好 兰交
梦熊 兰梦
雕栏 栏杆
衰退 阑珊
浮名 谰言
绚丽 烂漫
漂帐 烂帐
大醉 烂醉
玉山颓倒 烂醉如泥
大醉 烂醉陶醉
谰言 滥调
视如草芥 滥杀无辜
来源 滥觞
狼狈万状 狼狈不堪
抱头鼠窜 狼狈而逃
狼狈不堪 狼狈万状
朋比为奸 狼狈为奸
一败涂地 狼奔豕突
缭乱 狼籍
散乱 狼藉
烽火 狼烟
海潮 浪潮
游荡 浪荡
游勇 浪人
浪费 浪掷
荡子 浪子
劳累 劳顿
功劳 劳绩
屈驾 劳驾
犒军 劳军
费神 劳神
牢固 牢靠
樊笼 牢笼
怨言 牢骚
怨气冲天 牢骚满腹
监狱 牢狱
老年得子 老蚌生珠
敦朴 老诚
老练 老到
老汉 老夫
